Month,Revenue,Profit
2024-01,21080.3,7250.25
2024-02,15591.98,5216.47
2024-03,23955.21,7683.9
2024-04,16050.15,5772.88
2024-05,17147.24,6120.21
2024-06,14680.34,5251.44
2024-07,24319.42,8169.21
2024-08,23733.45,8270.23
2024-09,22164.73,7318.95
2024-10,21835.4,7204.86
2024-11,14781.06,5232.12
2024-12,25374.61,9253.75
2025-01,22684.39,7652.15
2025-02,19429.48,6653.05
2025-03,20376.1,7198.39
2025-04,22353.65,7525.79
2025-05,23351.42,7611.82
2025-06,16319.71,5730.05
2025-07,21792.81,7232.15
2025-08,19880.69,7331.12
2025-09,19239.42,6748.41
2025-10,22242.92,7783.25
2025-11,25261.67,8466.1
2025-12,25236.6,9263.36
