Product,Revenue,Units,Profit,AvgPrice,Margin%
27-inch Monitor,102802.18,434,28515.23,236.87,27.7
Smartwatch,77966.87,571,35068.33,136.54,45.0
External SSD 1TB,53387.21,544,13464.12,98.14,25.2
Standing Desk,44830.65,133,9653.8,337.07,21.5
Laptop Stand,43662.26,1648,18394.69,26.49,42.1
Bluetooth Speaker,42093.590000000004,754,15996.86,55.83,38.0
Webcam HD,37826.17,892,13167.53,42.41,34.8
Noise Cancelling Headphones,33313.94,310,12445.88,107.46,37.4
Mechanical Keyboard,29458.57,445,12305.43,66.2,41.8
Wireless Mouse,15932.81,682,6680.64,23.36,41.9
USB-C Hub,11846.14,376,4987.24,31.51,42.1
Gaming Chair,5762.36,25,1260.16,230.49,21.9
