OrderID,Date,Product,Category,Region,UnitPrice,Quantity,Revenue,Profit,Cost
ORD12231,2024-01-01,USB-C Hub,Accessories,North,37.89,3,113.67,53.51,60.16
ORD10346,2024-01-01,Laptop Stand,Accessories,South,30.41,3,91.23,37.04,54.19
ORD12933,2024-01-01,Webcam HD,Peripherals,East,57.31,1,57.31,20.11,37.2
ORD10066,2024-01-01,Noise Cancelling Headphones,Audio,East,81.38,2,162.76,63.84,98.92
ORD10077,2024-01-01,Smartwatch,Wearables,South,152.74,2,305.48,130.24,175.24
ORD12136,2024-01-01,USB-C Hub,Accessories,West,25.1,1,25.1,10.54,14.56
ORD10188,2024-01-02,Webcam HD,Peripherals,West,55.89,1,55.89,19.56,36.33
ORD11092,2024-01-02,External SSD 1TB,Storage,East,107.83,1,107.83,21.28,86.55
ORD12425,2024-01-02,Smartwatch,Wearables,North,153.0,2,306.0,147.04,158.96
ORD11999,2024-01-02,Wireless Mouse,Accessories,East,28.44,2,56.88,24.91,31.97
ORD11959,2024-01-02,Mechanical Keyboard,Accessories,South,42.73,2,85.46,34.29,51.17
ORD10847,2024-01-02,Wireless Mouse,Accessories,Central,26.21,3,78.63,32.62,46.01
ORD12745,2024-01-03,Mechanical Keyboard,Accessories,South,43.17,3,129.51,56.36,73.15
ORD10495,2024-01-03,Laptop Stand,Accessories,South,24.33,1,24.33,10.03,14.3
ORD11326,2024-01-03,Laptop Stand,Accessories,North,29.76,2,59.52,24.56,34.96
ORD10697,2024-01-03,Bluetooth Speaker,Audio,West,35.27,4,141.08,47.46,93.62
ORD12379,2024-01-04,Laptop Stand,Accessories,North,18.5,2,37.0,16.16,20.84
ORD11793,2024-01-04,Wireless Mouse,Accessories,Central,25.27,3,75.81,32.12,43.69
ORD12413,2024-01-04,Mechanical Keyboard,Accessories,South,59.67,1,59.67,25.55,34.12
ORD12283,2024-01-05,External SSD 1TB,Storage,North,104.43,2,208.86,42.65,166.21
ORD10415,2024-01-05,Laptop Stand,Accessories,South,21.91,1,21.91,10.29,11.62
ORD10010,2024-01-05,Webcam HD,Peripherals,North,51.98,2,103.96,36.87,67.09
ORD10557,2024-01-05,Mechanical Keyboard,Accessories,West,87.08,3,261.24,106.69,154.55
ORD10941,2024-01-06,USB-C Hub,Accessories,East,40.67,3,122.01,58.67,63.34
ORD12961,2024-01-06,USB-C Hub,Accessories,West,25.28,1,25.28,10.58,14.7
ORD12135,2024-01-07,Wireless Mouse,Accessories,North,28.47,2,56.94,21.44,35.5
ORD10091,2024-01-07,Bluetooth Speaker,Audio,West,72.22,1,72.22,26.57,45.65
ORD10131,2024-01-07,Webcam HD,Peripherals,West,50.76,1,50.76,14.28,36.48
ORD10168,2024-01-07,Gaming Chair,Furniture,West,273.81,2,547.62,137.72,409.9
ORD10176,2024-01-07,Wireless Mouse,Accessories,North,27.32,2,54.64,22.27,32.37
ORD10312,2024-01-08,Laptop Stand,Accessories,Central,31.48,3,94.44,37.56,56.88
ORD11499,2024-01-08,Webcam HD,Peripherals,South,59.76,1,59.76,22.84,36.92
ORD12300,2024-01-09,Smartwatch,Wearables,South,158.67,1,158.67,63.54,95.13
ORD12069,2024-01-09,Webcam HD,Peripherals,East,58.0,1,58.0,21.23,36.77
ORD11748,2024-01-09,Bluetooth Speaker,Audio,West,44.11,1,44.11,14.03,30.08
ORD12722,2024-01-09,Smartwatch,Wearables,South,166.74,4,666.96,286.88,380.08
ORD11698,2024-01-09,USB-C Hub,Accessories,North,41.57,1,41.57,15.96,25.61
ORD11538,2024-01-09,Smartwatch,Wearables,North,103.14,3,309.42,152.81,156.61
ORD11460,2024-01-09,Webcam HD,Peripherals,Central,57.38,2,114.76,46.25,68.51
ORD12455,2024-01-09,Bluetooth Speaker,Audio,West,71.82,3,215.46,79.75,135.71
ORD11610,2024-01-09,Bluetooth Speaker,Audio,North,66.12,1,66.12,26.79,39.33
ORD10261,2024-01-10,Smartwatch,Wearables,South,110.37,3,331.11,147.21,183.9
ORD12918,2024-01-10,Wireless Mouse,Accessories,North,15.76,1,15.76,6.89,8.87
ORD10721,2024-01-10,USB-C Hub,Accessories,South,31.18,4,124.72,49.57,75.15
ORD12766,2024-01-10,Laptop Stand,Accessories,East,26.33,2,52.66,19.42,33.24
ORD12076,2024-01-10,Gaming Chair,Furniture,South,235.81,3,707.43,117.37,590.06
ORD11380,2024-01-11,Standing Desk,Furniture,Central,295.99,2,591.98,137.04,454.94
ORD12078,2024-01-11,Laptop Stand,Accessories,North,29.43,4,117.72,57.38,60.34
ORD12589,2024-01-11,Webcam HD,Peripherals,West,44.79,2,89.58,32.08,57.5
ORD10927,2024-01-12,USB-C Hub,Accessories,North,27.97,1,27.97,11.31,16.66
ORD12624,2024-01-12,Webcam HD,Peripherals,North,47.14,2,94.28,38.41,55.87
ORD10147,2024-01-12,Webcam HD,Peripherals,South,55.55,5,277.75,99.19,178.56
ORD10949,2024-01-12,External SSD 1TB,Storage,South,84.25,2,168.5,42.64,125.86
ORD11697,2024-01-12,External SSD 1TB,Storage,South,99.61,1,99.61,25.66,73.95
ORD11266,2024-01-12,Wireless Mouse,Accessories,South,28.62,4,114.48,47.63,66.85
ORD11650,2024-01-12,External SSD 1TB,Storage,East,126.71,3,380.13,91.5,288.63
ORD10248,2024-01-12,Smartwatch,Wearables,North,131.9,2,263.8,107.35,156.45
ORD10051,2024-01-12,Wireless Mouse,Accessories,West,15.27,1,15.27,6.64,8.63
ORD11410,2024-01-13,Wireless Mouse,Accessories,South,29.56,2,59.12,24.66,34.46
ORD12677,2024-01-13,Laptop Stand,Accessories,South,22.48,2,44.96,20.49,24.47
ORD12709,2024-01-13,Bluetooth Speaker,Audio,North,63.54,6,381.24,140.65,240.59
ORD10389,2024-01-14,Laptop Stand,Accessories,East,21.99,1,21.99,7.98,14.01
ORD11493,2024-01-14,Standing Desk,Furniture,South,436.68,1,436.68,94.76,341.92
ORD12491,2024-01-14,Bluetooth Speaker,Audio,West,55.64,4,222.56,95.92,126.64
ORD10734,2024-01-14,Bluetooth Speaker,Audio,North,46.94,4,187.76,69.19,118.57
ORD12470,2024-01-14,Mechanical Keyboard,Accessories,South,88.06,3,264.18,103.9,160.28
ORD12005,2024-01-15,Webcam HD,Peripherals,South,49.04,4,196.16,61.63,134.53
ORD10092,2024-01-15,Wireless Mouse,Accessories,West,26.06,1,26.06,10.12,15.94
ORD11935,2024-01-15,Mechanical Keyboard,Accessories,East,81.47,2,162.94,66.97,95.97
ORD11149,2024-01-15,Laptop Stand,Accessories,West,19.59,3,58.77,22.6,36.17
ORD11718,2024-01-15,Webcam HD,Peripherals,South,45.19,1,45.19,17.85,27.34
